[DEBUG][{2021-04-02 16:58:57,286][org.apache.ibatis.datasource.pooled.PooledDataSource]org.apache.ibatis.datasource.pooled.PooledDataSource.forceCloseAll(PooledDataSource.java:353)PooledDataSource forcefully closed/removed all connections.
[DEBUG][{2021-04-02 16:58:57,296][org.apache.ibatis.datasource.pooled.PooledDataSource]org.apache.ibatis.datasource.pooled.PooledDataSource.forceCloseAll(PooledDataSource.java:353)PooledDataSource forcefully closed/removed all connections.
[DEBUG][{2021-04-02 16:58:57,296][org.apache.ibatis.datasource.pooled.PooledDataSource]org.apache.ibatis.datasource.pooled.PooledDataSource.forceCloseAll(PooledDataSource.java:353)PooledDataSource forcefully closed/removed all connections.
[DEBUG][{2021-04-02 16:58:57,426][org.apache.ibatis.transaction.jdbc.JdbcTransaction]org.apache.ibatis.transaction.jdbc.JdbcTransaction.openConnection(JdbcTransaction.java:136)Opening JDBC Connection
[DEBUG][{2021-04-02 16:58:57,826][org.apache.ibatis.datasource.pooled.PooledDataSource]org.apache.ibatis.datasource.pooled.PooledDataSource.popConnection(PooledDataSource.java:424)Created connection 520022247.
[DEBUG][{2021-04-02 16:58:57,826][org.apache.ibatis.transaction.jdbc.JdbcTransaction]org.apache.ibatis.transaction.jdbc.JdbcTransaction.setDesiredAutoCommit(JdbcTransaction.java:100)Setting autocommit to false on JDBC Connection [com.mysql.jdbc.JDBC4Connection@1efee8e7]
[DEBUG][{2021-04-02 16:58:57,836][com.mf.dao.UserMapper.getUserByLimitRowBounds]org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(BaseJdbcLogger.java:143)==>  Preparing: select * from mybatis.tb_user 
[DEBUG][{2021-04-02 16:58:57,876][com.mf.dao.UserMapper.getUserByLimitRowBounds]org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(BaseJdbcLogger.java:143)==> Parameters: 
[DEBUG][{2021-04-02 16:58:57,906][org.apache.ibatis.transaction.jdbc.JdbcTransaction]org.apache.ibatis.transaction.jdbc.JdbcTransaction.resetAutoCommit(JdbcTransaction.java:122)Resetting autocommit to true on JDBC Connection [com.mysql.jdbc.JDBC4Connection@1efee8e7]
[DEBUG][{2021-04-02 16:58:57,906][org.apache.ibatis.transaction.jdbc.JdbcTransaction]org.apache.ibatis.transaction.jdbc.JdbcTransaction.close(JdbcTransaction.java:90)Closing JDBC Connection [com.mysql.jdbc.JDBC4Connection@1efee8e7]
[DEBUG][{2021-04-02 16:58:57,906][org.apache.ibatis.datasource.pooled.PooledDataSource]org.apache.ibatis.datasource.pooled.PooledDataSource.pushConnection(PooledDataSource.java:381)Returned connection 520022247 to pool.
